ID,Name,Description,Faction,Media_URL
29,Void Elf,"Many have sought to harness the corruptive magic of the Void. Most who tried have fallen into madness. Determined to use this power for the good of Azeroth, Alleria Windrunner is the first mortal to succeed at defying the shadow's whispers. Coming to the aid of a group of her kin who nearly gave in to the darkness, Alleria has vowed to train these Void elves to control the shadows within them and pledge their newfound powers to the Alliance.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt35fc0c273a35bbf2/6165f0589b9d9e0157b98bd6/15H3ECGHPZG21533927442699.png
52,Dracthyr,"Created by Neltharion the Earth-Warder, the essence of dragons was combined with the adaptability of the mortal races to create an elite soldier capable of switching from a draconic form to humanoid form. Long in a magical stasis, they are now awakening to a new threat within the Dragon Isles. It is in the Forbidden Reach that the dracthyr will start their journey to reclaim their fractured memories and face a new reality.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltd824bc3db4735ec0/632b5b19f581050de00360fb/Alliance_Dracthyr_BG.png
37,Mechagnome,"Long ago, a faction of zealous gnomes set out on a quest to improve their bodies and minds. Settling on the isolated isle of Mechagon, they experimented with ancient technology to reverse the Curse of Flesh and become living machines. After facing the perils of full mechanization, they found the ideal balance between flesh and steel. Now reunited with their gnomish cousins, the mechagnomes bring both tenacity and ingenuity to the Alliance.",Alliance,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt4a01611aa0e5e3c7/6165edd0ff59d903990f26ea/D1KJTXSAJG2A1578618717193.png
2,Orc,"The orcs once lived as shamanic clans on the lush world of Draenor. Corrupted by Kil’jaeden, a demon lord of the Burning Legion, they invaded the world of Azeroth. Eventually able to free themselves from demonic influences, the orcs settled on Kalimdor, erecting their great capital Orgrimmar—from where they fight to find their place in the world they once came to conquer.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt8a0bea138cdc9f77/6165eebb70b75d5011e405d4/GYI6XASNQ8YE1613677290450.png
5,Undead,"Death offered no escape for the scores of humans killed during the Lich King’s campaign to scour the living from Lordaeron. When his grasp over the Scourge faltered after the Third War, a contingent of undead broke free of their master’s iron will. Calling themselves Forsaken, they now struggle to thrive in a world that has come to despise their existence.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt0b1f2cd145aedbcd/6165f001a3e18902e03811d3/4UX5EM1CFKV81613677292421.png
8,Troll,"The proud Darkspear exiles were once on the brink of extinction, when Warchief Thrall and his mighty Horde forces were driven to the trolls’ remote island home during a violent storm. These trolls were welcomed into the Horde, and found their place among other outcast races.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt9d279b401555fd09/6165efc047c23d6a01ffdf49/NF9Y4RYPBLZ91613677291342.png
10,Blood Elf,"For thousands of years, the high elves of Quel'Thalas drew strength from the Sunwell, a magical font of arcane energies. An invasion by the undead Scourge decimated the kingdom's population and deprived them of the Sunwell's might. Taking the name blood elves – or sin’dorei in their own tongue –the people of Quel’Thalas sated their magical thirst for a time with demonic fel energies. Once the Sunwell was restored, the blood elves worked to rebuild their homeland and help lead the Horde into a bold future.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt0ef3a9577fa8e9b2/6165d76b25b12a4a14b3a758/0FP7U3NPCZYF1552513934895.png
6,Tauren,"The peaceful tauren—known in their own tongue as the shu’halo—have long dwelled in Kalimdor, striving to preserve the balance of nature at the behest of their goddess, the Earth Mother. Once nomadic in nature, the wandering tauren tribes have since united and settled in their ancestral homeland of Mulgore.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt17e109f4099b82be/6165ef7c0e274669d2eec008/3EFGTIBWXEOM1613677291609.png
31,Zandalari Troll,"The Zandalari are a proud people whose origins date back to the early days of Azeroth's history. Their fierce warriors ride dinosaurs into battle, and they possess one of the most formidable naval fleets in the known world. But enemy attacks on their borders—as well as unrest within the king's council—have threatened the kingdom's foundations. By returning stability to Zandalar, the heroes of the Horde can gain a powerful new ally.
",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt7930ac3a2cb81db0/6165f15c5e87796834fb59db/2SLCPPC6KW791549412561012.png
9,Goblin,"The goblins’ craftiness and greed make them masters of mercantilism. Reforging old pacts with their one-time allies, the goblins of the Bilgewater Cartel have been welcomed into the Horde. Honing their inherent cunning to a razor’s edge, the goblins hope to use their explosive inventions to rule the world – or at the very least own a profitable percentage of it.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blte86b6ed1f29656b9/6165e7dedfd0436b6dcf6e2e/YAAFZMAKCVPG1613677288954.png
28,Highmountain Tauren,"Descended from Huln, brave hero of the War of the Ancients, the Highmountain tauren honor the spirits of earth, river, and sky. Though the Legion invaded their lands and sowed seeds of distrust between them, the tribes of Highmountain stand united once more. At long last they are ready to venture beyond their sacred mountain and stand beside their kin from Kalimdor, lending their nobility and strength to the mighty Horde.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt1a30b1c79a0bd700/6165ea0a8da28366acf10a80/HLF6UDNP8SLE1533927441225.png
27,Nightborne,"Isolated behind a protective barrier for 10,000 years, the elves of Suramar grew increasingly dependent upon the arcane magic of the Nightwell. To protect this font of power, the leaders of the Nightborne struck a bargain with the Burning Legion that plunged their kingdom into civil war. After fighting for freedom from their demonic masters, the Nightborne seek allies in the Horde to help reclaim their place in the world.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt4fb79cc718b780a9/6165ee6d8f36d66a0843497a/RR47HIN415K81533927441927.png
35,Vulpera,"Clever and resourceful, the vulpera have survived amidst the harsh desert of Vol'dun for generations. Traveling in close-knit caravans, they watch out for each other as they scavenge supplies from across the dunes. Despite their small stature, they are fierce and cunning in battle, bringing down any enemy foolish enough to underestimate them. Now full-fledged members of the Horde, their wagons have left the sands in search of adventure.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltb5f60de7c49a487a/6165f0a02f01594a0e0415ea/3SUNFMRVXCYZ1578618800806.png
36,Mag'har Orc,"For untold generations, the orc clans of Draenor battled one another in endless war. But when Gul'dan offered them the blood of his demonic masters, the disparate tribes of Mag'har—the orcish word for ""uncorrupted""—refused the dark bargain and banded together to drive out the Burning Legion. In the aftermath of the fall of Hellfire Citadel, the Mag'har pledged to one day repay Azeroth's heroes for aiding their cause. As war against the Alliance intensifies, the Horde must call upon the might of the Mag'har to seize victory.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt8e95f4842bae00d6/6165ed69dfd0436b6dcf6e32/PUPRNQDXM3FT1533927441732.png
26,Pandaren,"Couched in myth and legend, the enigmatic pandaren have long been a mystery to the other races of Azeroth. Pandaren who follow the Path of the Huojin believe that in the pursuit of a greater good, inaction is the only wrong. The Huojin believe that morals and ideals are not absolute, but change with circumstances, and as such they are naturally drawn to the pragmatic Horde.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/blt05af082d18593cb2/6165ef2319046c4b997492f0/WYVKZ141CEVW1613677290899.png
70,Dracthyr,"Created by Neltharion the Earth-Warder, the essence of dragons was combined with the adaptability of the mortal races to create an elite soldier capable of switching from a draconic form to humanoid form. Long in a magical stasis, they are now awakening to a new threat within the Dragon Isles. It is in the Forbidden Reach that the dracthyr will start their journey to reclaim their fractured memories and face a new reality.",Horde,https://blz-contentstack-images.akamaized.net/v3/assets/blt3452e3b114fab0cd/bltcc2b2f868eee14b4/632b582c3ab6f40dd2a90966/Horde_Dracthyr_FG.png
